date,A204,A207,C104,C105,C15,C173,C20,C23,C301,C304,C305,C307,C37,C38,C67,C7,C77,C8,C80,CVPM07G,CVPM07S,CVPM08G,CVPM08S,D17,D42,D43,D44,D503,D507,D509,D511,D517,D541,D55,D64,D85,D9,D98,DBUGSNK,DBUGSRC,Desal,EXT_CVPM08,EXT_SAC,GW_07,GW_08,HGP07,HGP08,HGR07,HGR08,HNP204,HNP207,HP204,HP207,HSD204,HSD207,HSR201,HSU202C80,HSU204C67,HSU204D42,HSU207C173,HSU207C37,HSUR201,HU204,HU207,HXI204,HXI207,INFLOW,INT_CVPM08,INT_SAC,R201,R_GLD,Req_Delta,SINK,SR_FOL,SR_ORO,SR_TAB,Surp_Delta,U204,U207,WTP204,WTP207,WWP204,WWP207
1921-10-31,-12.96412067776,-14.6933283255448,-7.68719146899356,-6.68719146899356,400000000.0,-10.6871914689936,400000000.0,-399616000.99808,400000000.0,400000000.0,400000000.0,-14.2884261964288,400000000.0,400000000.0,400000000.0,-9.68719146899356,-399616002.99808,-8.68719146899356,-399615998.99808,-6.93832535720384,-4.78006131081837,-5.70146513929116,-122000000.61,-13.6871914689936,-13.2884261964288,400000000.0,-6.68719146899356,-5.68719146899356,-2.68719146899356,-4.0,-4.68719146899356,-400000001.0,-3.0,-3.68719146899356,-9.68719146899356,-10.6871914689936,-11.6871914689936,400000000.0,-200000001.0,200000000.0,-2.0,-0.0373866566510896,-0.0373866566510896,-14.96412067776,-16.6933283255448,-13.96412067776,-15.6933283255448,-15.96412067776,-17.6933283255448,-11.2934674197333,-13.2148092506053,400000000.0,400000000.0,-10.6871914689936,-400000001.0,-400000001.0,-352000001.76,400000000.0,-12.2884261964288,-9.68719146899356,400000000.0,-399999999.0,-11.276629429697,-13.5622679143159,-11.96412067776,-13.6933283255448,1.0,-13.6933283255448,-11.96412067776,-400000000.0,-2.44614819142861,-2.0,-1.0,-12.6871914689936,-399616001.99808,-399615999.99808,-2.0,-12.96412067776,-14.6933283255448,-11.6871914689936,400000000.0,-12.2934674197333,-14.2148092506053
1921-11-30,-11.96412067776,-13.6933283255448,-6.74697478071511,-5.74697478071511,-12.7469747807151,-9.74697478071511,400000000.0,-400000000.0,-11.7469747807151,-14.7469747807151,-13.7469747807151,-13.4084261964288,400000000.0,-400000001.0,-9.74697478071511,-8.74697478071511,-400000001.0,-7.74697478071511,-399999998.0,-6.52932535720384,-4.39551268531248,-5.39646513929116,-122000000.61,-12.7469747807151,-12.4084261964288,-10.7469747807151,-5.74697478071511,-4.74697478071511,-1.74697478071511,-4.0,-3.74697478071511,-400000000.0,-3.0,-2.74697478071511,-8.74697478071511,-9.74697478071511,-10.7469747807151,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0353866566510895,-0.0353866566510895,-13.96412067776,-15.6933283255448,-12.96412067776,-14.6933283255448,-14.96412067776,-16.6933283255448,-10.1823563086222,-12.1036981394942,400000000.0,400000000.0,-9.74697478071511,-400000001.0,-400000001.0,-352000001.76,-8.74697478071511,-11.4084261964288,-8.74697478071511,400000000.0,-399999999.0,-10.3296597327273,-12.5711876368135,-10.96412067776,-12.6933283255448,1.0,-12.6933283255448,-10.96412067776,-400000000.0,-2.30534819142861,-2.0,-1.0,-11.7469747807151,-400000001.0,-399999999.0,-2.0,-11.96412067776,-13.6933283255448,-12.96412067776,400000000.0,-11.1823563086222,-13.1036981394942
1921-12-31,-12.6363636363636,-12.6933283255448,-10.0,-9.0,-16.0,-8.76650718263829,400000000.0,-399704217.877291,-15.0,-18.0,-17.0,-14.0,400000000.0,-400000001.0,-13.0,-12.0,-399704219.877291,-11.0,-399704215.877291,-6.12032535720384,-5.726,-5.09146513929115,-122000000.61,-11.7665071826383,-13.0,-14.0,-9.0,-8.0,-5.0,-4.0,-7.0,-400000000.0,-3.0,-6.0,-12.0,-13.0,-9.76650718263829,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0333866566510895,-0.0333866566510895,-12.96412067776,-14.6933283255448,-13.6363636363636,-13.6933283255448,-13.96412067776,-15.6933283255448,-10.9925870283831,-10.9925870283831,400000000.0,400000000.0,-13.0,-400000001.0,-400000001.0,-352000001.76,-12.0,-12.0,-7.76650718263829,400000000.0,-399999999.0,-10.9662534435262,-11.580107359311,-11.6933283255448,-11.6933283255448,1.0,-11.6933283255448,-11.6933283255448,-400000000.0,-2.4,-2.0,-1.0,-10.7665071826383,-399704218.877291,-399704216.877291,-2.0,-12.6933283255448,-12.6933283255448,-13.6933283255448,400000000.0,-11.9925870283831,-11.9925870283831
1922-01-31,-9.96412067776,-11.6933283255448,-4.7769608346479,-3.7769608346479,-10.7769608346479,-7.7769608346479,400000000.0,-399193249.515351,-9.7769608346479,-12.7769608346479,-11.7769608346479,-11.6484261964288,400000000.0,-400000001.0,-7.7769608346479,-6.7769608346479,-399193251.515351,-5.7769608346479,-399193247.515351,-5.71132535720384,-3.58977698137099,-4.78646513929116,-122000000.61,-10.7769608346479,-10.6484261964288,-8.7769608346479,-3.7769608346479,-2.7769608346479,0.223039165352097,1.2230391653521,-1.7769608346479,-400000000.0,2.2230391653521,-0.776960834647903,-6.7769608346479,-7.7769608346479,-8.7769608346479,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0313866566510895,-0.0313866566510895,-11.96412067776,-13.6933283255448,-10.96412067776,-12.6933283255448,-12.96412067776,-14.6933283255448,-9.88147591727197,-9.88147591727197,400000000.0,400000000.0,-7.7769608346479,-400000001.0,-400000001.0,-352000001.76,-9.6484261964288,-9.6484261964288,-6.7769608346479,400000000.0,-399999999.0,-8.43572033878788,-10.5890270818085,-10.6933283255448,-10.6933283255448,1.0,-10.6933283255448,-10.6933283255448,-400000000.0,-2.02374819142861,-2.0,-1.0,-9.7769608346479,-399193250.515351,-399193248.515351,-2.0,-11.6933283255448,-11.6933283255448,-12.6933283255448,400000000.0,-10.881475917272,-10.881475917272
1922-02-28,-8.96412067776,-10.6933283255448,-3.78273264690958,-2.78273264690958,-9.78273264690958,-6.78273264690958,400000000.0,-398491902.762968,-8.78273264690958,-11.7827326469096,-10.7827326469096,-10.7684261964288,-11.2901289264794,-400000001.0,-6.78273264690958,-5.78273264690958,-398491904.762968,-4.78273264690958,-398491900.762968,-5.30232535720384,-3.18313765258602,-4.48146513929116,-122000000.61,-9.78273264690958,-9.7684261964288,-7.78273264690958,-2.78273264690958,-1.78273264690958,1.21726735309042,2.21726735309042,-0.78273264690958,-400000000.0,3.21726735309042,0.21726735309042,-5.78273264690958,-6.78273264690958,-7.78273264690958,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0293866566510895,-0.0293866566510895,-10.96412067776,-12.6933283255448,-9.96412067776,-11.6933283255448,-11.96412067776,-13.6933283255448,-8.77036480616086,-8.77036480616086,400000000.0,400000000.0,-6.78273264690958,-400000001.0,-400000001.0,-352000001.76,-8.7684261964288,-8.7684261964288,-5.78273264690958,-10.2901289264794,-399999999.0,-7.48875064181818,-9.59794680430602,-9.69332832554478,-9.69332832554477,1.0,-9.69332832554477,-9.69332832554478,-400000000.0,-1.88294819142861,-2.0,-1.0,-8.78273264690958,-398491903.762968,-398491901.762968,-2.0,-10.6933283255448,-10.6933283255448,-7.78273264690958,400000000.0,-9.77036480616086,-9.77036480616086
1922-03-31,-7.96412067776,-9.69332832554477,-2.79442923779585,-1.79442923779585,-8.79442923779585,-5.79442923779585,400000000.0,-398101762.034215,-7.79442923779585,-10.7944292377958,-9.79442923779585,-9.8884261964288,400000000.0,-400000001.0,-5.79442923779585,-4.79442923779585,-398101764.034215,-3.79442923779585,-398101760.034215,-4.89332535720384,-2.7789215582585,-4.17646513929116,-122000000.61,-8.79442923779585,-8.8884261964288,-6.79442923779585,-1.79442923779585,-0.794429237795848,2.20557076220415,3.20557076220415,0.205570762204152,-400000000.0,4.20557076220415,1.20557076220415,-4.79442923779585,-5.79442923779585,-6.79442923779585,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0273866566510895,-0.0273866566510895,-9.96412067776,-11.6933283255448,-8.96412067776,-10.6933283255448,-10.96412067776,-12.6933283255448,-7.65925369504975,-7.65925369504975,400000000.0,400000000.0,-5.79442923779585,-400000001.0,-400000001.0,-352000001.76,-4.79442923779585,-7.8884261964288,-4.79442923779585,400000000.0,-399999999.0,-6.54178094484849,-8.60686652680354,-8.69332832554477,-8.69332832554477,1.0,-8.69332832554477,-8.69332832554477,-400000000.0,-1.74214819142861,-2.0,-1.0,-7.79442923779585,-398101763.034215,-398101761.034215,-2.0,-9.69332832554477,-9.69332832554477,-6.79442923779585,400000000.0,-8.65925369504975,-8.65925369504975
1922-04-30,-6.96412067776,-8.69332832554477,-1.81513935709214,-0.815139357092141,400000000.0,-9.5301289264794,400000000.0,-397942583.999815,400000000.0,400000000.0,400000000.0,-9.0084261964288,400000000.0,-400000001.0,400000000.0,-3.81513935709214,-397942585.999815,-2.81513935709214,-397942581.999815,-4.48432535720384,-2.37839199705069,-3.87146513929115,-122000000.61,-7.81513935709214,-8.0084261964288,400000000.0,-0.815139357092141,0.184860642907859,3.18486064290786,4.18486064290786,1.18486064290786,-400000000.0,5.18486064290786,2.18486064290786,-3.81513935709214,-4.81513935709214,-5.81513935709214,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0253866566510896,-0.0253866566510896,-8.96412067776,-10.6933283255448,-7.96412067776,-9.69332832554478,-9.96412067776,-11.6933283255448,-4.62680075306667,-6.54814258393864,400000000.0,400000000.0,-4.81513935709214,-400000001.0,-400000001.0,-352000001.76,400000000.0,-7.0084261964288,-8.5301289264794,400000000.0,-399999999.0,-5.59481124787879,-7.61578624930107,-5.96412067776,-7.69332832554477,1.0,-7.69332832554478,-5.96412067776,-400000000.0,-1.60134819142861,-2.0,-1.0,-6.81513935709214,-397942584.999815,-397942582.999815,-2.0,-6.96412067776,-8.69332832554477,-7.96412067776,400000000.0,-5.62680075306667,-7.54814258393864
1922-05-31,-5.96412067776,-7.69332832554478,-0.844502271838329,0.155497728161671,400000000.0,-3.84450227183833,400000000.0,-398161571.865441,400000000.0,400000000.0,400000000.0,-8.1284261964288,-8.6501289264794,-400000001.0,400000000.0,-2.84450227183833,-398161573.865441,-1.84450227183833,-398161569.865441,-3.64784155090909,-1.98140142918188,-3.56646513929116,-122000000.61,-6.84450227183833,-7.1284261964288,400000000.0,0.155497728161671,1.15549772816167,4.15549772816167,5.15549772816167,2.15549772816167,-400000000.0,6.15549772816167,3.15549772816167,-2.84450227183833,-3.84450227183833,-4.84450227183833,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0233866566510896,-0.0233866566510896,-7.96412067776,-9.69332832554477,-6.96412067776,-8.69332832554477,-7.91892799733275,-10.6933283255448,-3.51568964195556,-5.43703147282753,400000000.0,400000000.0,-3.84450227183833,-400000001.0,-400000001.0,-352000001.76,400000000.0,-6.1284261964288,-2.84450227183833,-7.6501289264794,-399999999.0,-4.64784155090909,-6.62470597179859,-4.96412067776,-6.69332832554478,1.0,-6.69332832554478,-4.96412067776,-400000000.0,-1.46054819142861,-2.0,-1.0,-5.84450227183833,-398161572.865441,-398161570.865441,-2.0,-5.96412067776,-7.69332832554478,-6.96412067776,400000000.0,-4.51568964195556,-6.43703147282753
1922-06-30,-4.96412067776,-6.69332832554478,0.111925980416755,1.11192598041676,400000000.0,-7.7701289264794,400000000.0,-398851584.10941,400000000.0,400000000.0,400000000.0,-7.2484261964288,400000000.0,-400000001.0,400000000.0,-1.88807401958324,-398851586.10941,-0.888074019583245,-398851582.10941,-3.66632535720384,-1.59022227400955,-3.26146513929116,-122000000.61,-5.88807401958324,-6.2484261964288,400000000.0,1.11192598041676,2.11192598041676,5.11192598041676,6.11192598041676,3.11192598041676,-400000000.0,7.11192598041676,4.11192598041676,-1.88807401958325,-2.88807401958324,-3.88807401958325,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0213866566510895,-0.0213866566510895,-6.96412067776,-8.69332832554477,-5.96412067776,-7.69332832554478,-7.96412067776,-9.69332832554477,-0.0978600217591676,-4.32592036171642,400000000.0,400000000.0,-2.88807401958324,-400000001.0,-400000001.0,-352000001.76,400000000.0,-5.2484261964288,-6.7701289264794,400000000.0,-399999999.0,-3.7008718539394,-5.63362569429611,-1.88807401958325,-5.69332832554477,1.0,-5.69332832554478,-1.88807401958325,-400000000.0,-1.31974819142861,-2.0,-1.0,-4.88807401958324,-398851585.10941,-398851583.10941,-2.0,-2.88807401958325,-6.69332832554478,-3.88807401958325,400000000.0,-1.09786002175917,-5.32592036171642
1922-07-31,-3.96412067776,-5.69332832554478,1.067782635,2.067782635,400000000.0,-6.8901289264794,400000000.0,-352000004.76,400000000.0,400000000.0,400000000.0,-6.3684261964288,400000000.0,-400000001.0,400000000.0,-0.932217364999996,-352000006.76,0.0677826350000041,-352000002.76,-3.25732535720384,-1.199276902285,-2.95646513929116,-122000000.61,-4.932217365,-5.3684261964288,400000000.0,2.067782635,3.067782635,6.06778263500001,7.067782635,4.067782635,-400000000.0,8.06778263500001,5.067782635,-0.932217364999996,-1.932217365,-2.932217365,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0193866566510896,-0.0193866566510896,-5.96412067776,-7.69332832554477,-4.96412067776,-6.69332832554478,-6.96412067776,-8.69332832554477,0.867348159276567,-3.21480925060531,400000000.0,400000000.0,-1.932217365,-400000001.0,-400000001.0,-352000001.76,400000000.0,-4.3684261964288,-5.8901289264794,400000000.0,-399999999.0,-2.7539021569697,-4.64254541679363,-1.01938665665109,-4.69332832554478,1.0,-4.69332832554478,-1.01938665665109,-400000000.0,-1.17894819142861,-2.0,-1.0,-3.932217365,-352000005.76,-352000003.76,-2.0,-2.01938665665109,-5.69332832554477,-3.01938665665109,400000000.0,-0.132651840723433,-4.21480925060531
1922-08-31,-2.96412067776,-4.69332832554478,2.02706,3.02706,400000000.0,-6.0101289264794,400000000.0,-352000004.76,400000000.0,400000000.0,400000000.0,-5.4884261964288,400000000.0,-400000001.0,400000000.0,0.0270600000000042,-352000006.76,1.02706,-352000002.76,-2.84832535720384,-0.806932459999998,-2.65146513929116,-122000000.61,-3.97294,-4.4884261964288,400000000.0,3.02706,4.02706,7.02706,8.02706,5.02706,-400000000.0,9.02706,6.02706,0.027060000000004,-0.972939999999996,-1.97294,-400000000.0,-200000001.0,200000000.0,-2.0,-0.0173866566510896,-0.0173866566510896,-4.96412067776,-6.69332832554477,-3.96412067776,-5.69332832554478,-5.96412067776,-7.69332832554477,0.86957038149879,-2.1036981394942,400000000.0,400000000.0,-0.972939999999996,-400000001.0,-400000001.0,-352000001.76,400000000.0,-3.4884261964288,-5.0101289264794,400000000.0,-399999999.0,-1.80693246,-3.65146513929116,-1.01738665665109,-3.69332832554478,1.0,-3.69332832554478,-1.01738665665109,-400000000.0,-1.03814819142861,-2.0,-1.0,-2.97294,-352000005.76,-352000003.76,-2.0,-2.01738665665109,-4.69332832554478,-3.01738665665109,400000000.0,-0.130429618501211,-3.1036981394942
1922-09-30,-2.543904,-4.38558332554478,3.0,4.0,400000000.0,-5.7393133264794,400000000.0,-352000004.76,400000000.0,400000000.0,400000000.0,-5.11863552,400000000.0,400000000.0,400000000.0,1.0,-352000006.76,2.0,-352000002.76,-2.43932535720384,-0.408999999999998,-2.34646513929116,-122000000.61,-3.0,-4.11863552,400000000.0,4.0,5.0,8.0,-4.0,6.0,-400000000.0,-3.0,7.0,1.0,3.29849145614387e-15,-0.999999999999997,400000000.0,-200000001.0,200000000.0,-2.0,-0.0153866566510896,-0.0153866566510896,-3.96412067776,-5.69332832554478,-3.01538665665109,-4.69332832554478,-4.96412067776,-6.69332832554477,0.87179260372101,-0.992587028383085,400000000.0,400000000.0,3.72578825701359e-15,-400000001.0,-400000001.0,-352000001.76,400000000.0,-3.11863552,-4.7393133264794,400000000.0,-399999999.0,-1.409,-3.34646513929116,-1.01538665665109,-2.69332832554477,1.0,-2.69332832554478,-1.01538665665109,-400000000.0,-0.9789816832,-2.0,-1.0,-2.0,-352000005.76,-352000003.76,-2.0,-2.01538665665109,-3.69332832554477,-3.01538665665109,400000000.0,-0.12820739627899,-1.99258702838308
